ACWO_1,ACWO_2,ACWO_3,ACWO_4,ACWO_5,ACWO_6,ADMO_1,ADMO_2,ADMO_3,ADMO_4,ADMO_5,ADMO_6,ADRR_1,ADRR_2,ADRR_3,ADRR_4,ADRR_5,ADRR_6,CSO_1,CSO_2,CSO_3,CSO_4,CSO_5,CSO_6,HTB_1,HTB_2,HTB_3,HTB_4,HTB_5,HTB_6,ITP_1,ITP_2,ITP_3,ITP_4,ITP_5,ITP_6,PPL_1,PPL_2,PPL_3,PPL_4,PPL_5,PPL_6,PS_1,PS_2,PS_3,PS_4,PS_5,PS_6,RRR_1,RRR_2,RRR_3,RRR_4,RRR_5,RRR_6,TGA_1,TGA_2,TGA_3,TGA_4,TGA_5,TGA_6,Abnormal
0.0,0.0,0.0,0.0,0.0,0.0,1755.0,1689.0,2053.0,1497.0,1273.0,1438.0,467.0,468.0,341.0,356.0,454.0,442.0,29754.0,29754.0,29754.0,29754.0,29754.0,29754.0,44.0,44.0,44.0,46.0,48.0,47.0,3695.0,3695.0,3695.0,3695.0,3695.0,3695.0,17000.0,17000.0,16600.0,16610.0,16430.0,16520.0,12258.0,11718.0,11898.0,11332.0,11770.0,11622.0,180.0,180.0,180.0,180.0,180.0,180.0,28046.0,27506.0,27286.0,26730.0,26988.0,26930.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1803.0,1954.0,1892.0,2035.0,2432.0,2706.0,339.0,439.0,449.0,454.0,452.0,454.0,30471.0,30471.0,30471.0,30471.0,30471.0,30471.0,56.0,57.0,53.0,52.0,54.0,50.0,2695.0,2695.0,2695.0,3095.0,3095.0,2895.0,13250.0,13250.0,13250.0,13320.0,13370.0,13440.0,15202.0,15018.0,14410.0,14483.0,14695.0,14699.0,160.0,160.0,160.0,160.0,160.0,160.0,28220.0,28036.0,27428.0,27171.0,27433.0,27707.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1078.0,967.0,967.0,950.0,820.0,1010.0,455.0,466.0,348.0,361.0,455.0,456.0,29997.0,29997.0,29997.0,29997.0,29997.0,29997.0,52.0,51.0,51.0,52.0,52.0,55.0,3305.0,3305.0,3305.0,3305.0,3305.0,3305.0,14600.0,14420.0,14500.0,14400.0,14350.0,14250.0,7426.0,6950.0,6270.0,7450.0,7260.0,8282.0,160.0,160.0,160.0,160.0,160.0,160.0,21184.0,20528.0,19928.0,21008.0,20768.0,21690.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1435.0,1891.0,1983.0,2166.0,2197.0,2473.0,400.0,438.0,315.0,324.0,435.0,436.0,31196.0,31196.0,31196.0,31196.0,31196.0,31196.0,51.0,52.0,55.0,56.0,56.0,57.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,15070.0,15050.0,15000.0,15000.0,15000.0,15000.0,15491.0,15470.0,15039.0,15022.0,14904.0,15034.0,180.0,180.0,180.0,180.0,180.0,180.0,29924.0,29883.0,29402.0,29385.0,29267.0,29397.0,0.0
0.0,0.0,0.0,0.0,194.0,389.0,1964.0,2076.0,2391.0,2594.0,2036.0,1838.0,295.0,280.0,282.0,293.0,290.0,289.0,31002.0,31002.0,31002.0,31002.0,31002.0,31002.0,36.0,37.0,38.0,38.0,38.0,36.0,3145.0,3145.0,3145.0,3145.0,3295.0,3295.0,17500.0,17600.0,17600.0,17650.0,17800.0,17900.0,13272.0,12813.0,12528.0,14133.0,13337.0,12597.0,180.0,180.0,180.0,180.0,180.0,180.0,30110.0,29751.0,29466.0,31121.0,30325.0,29685.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1342.0,1098.0,1511.0,1596.0,1630.0,1509.0,314.0,304.0,303.0,308.0,238.0,238.0,30238.0,30238.0,30238.0,30238.0,30238.0,30238.0,78.0,77.0,77.0,74.0,69.0,70.0,3295.0,3295.0,3295.0,3295.0,3295.0,3295.0,15580.0,15300.0,15600.0,15000.0,14050.0,13910.0,12602.0,13186.0,13272.0,14067.0,14901.0,14770.0,160.0,160.0,160.0,160.0,160.0,160.0,27350.0,27654.0,28040.0,28235.0,28119.0,27848.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1729.0,2284.0,1975.0,2619.0,2163.0,2139.0,283.0,302.0,407.0,408.0,421.0,411.0,30422.0,30422.0,30422.0,30422.0,30422.0,30422.0,54.0,54.0,57.0,59.0,61.0,59.0,3450.0,3450.0,3450.0,3450.0,3450.0,3450.0,14480.0,14500.0,14250.0,14250.0,14190.0,14220.0,8583.0,8041.0,7522.0,8462.0,8341.0,8067.0,160.0,160.0,160.0,160.0,160.0,160.0,22076.0,21554.0,20785.0,21725.0,21544.0,21300.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,941.0,1271.0,854.0,885.0,1181.0,976.0,196.0,268.0,268.0,268.0,268.0,268.0,29813.0,29813.0,29813.0,29813.0,29813.0,29813.0,62.0,62.0,60.0,60.0,58.0,57.0,2470.0,2670.0,2670.0,2670.0,2695.0,2695.0,13060.0,13380.0,13180.0,13410.0,13580.0,13310.0,13869.0,13587.0,12827.0,12432.0,12582.0,12503.0,160.0,160.0,160.0,160.0,160.0,160.0,26922.0,26760.0,25800.0,25635.0,25930.0,25581.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1693.0,2062.0,1463.0,1409.0,1283.0,1782.0,269.0,269.0,624.0,307.0,312.0,310.0,30901.0,30901.0,30901.0,30901.0,30901.0,30901.0,43.0,41.0,41.0,40.0,40.0,41.0,2895.0,2895.0,2895.0,2895.0,2895.0,2695.0,15500.0,15500.0,15500.0,15750.0,15470.0,15340.0,15155.0,15214.0,14173.0,13648.0,13721.0,14000.0,160.0,160.0,160.0,160.0,160.0,160.0,30223.0,30282.0,29241.0,28966.0,28759.0,29108.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2038.0,1657.0,1865.0,1547.0,1424.0,1860.0,157.0,226.0,226.0,226.0,226.0,226.0,30267.0,30267.0,30267.0,30267.0,30267.0,30267.0,44.0,46.0,51.0,51.0,45.0,48.0,2788.0,2788.0,2788.0,2788.0,2788.0,3088.0,15000.0,15000.0,14690.0,14780.0,15260.0,15170.0,9347.0,8543.0,8440.0,7845.0,7092.0,7898.0,160.0,160.0,160.0,160.0,160.0,160.0,24022.0,23218.0,22805.0,22300.0,22027.0,22443.0,0.0
