ACWO_1,ADMO_1,ADRR_1,CSO_1,DPB_1,DPH_1,HTB_1,HTH_1,ITP_1,OGO_1,PPL_1,PS_1,RRIR_1,RRR_1,TAGI_1,TGA_1,TLRR_1,Abnormal
0.0,1673.0,448.0,30471.0,35.0,30.0,58.0,63.0,2895.0,4520.0,13750.0,14306.0,2463.0,160.0,30519.0,27624.0,16213.0,0.0
0.0,1787.0,466.0,29883.0,58.0,63.0,69.0,82.0,3425.0,1913.0,15660.0,15059.0,2463.0,160.0,33182.0,29757.0,18123.0,0.0
0.0,1412.0,503.0,29997.0,18.0,16.0,40.0,39.0,3120.0,4121.0,15200.0,12725.0,2483.0,180.0,30408.0,27288.0,17683.0,0.0
0.0,1756.0,397.0,28074.0,39.0,34.0,56.0,59.0,3095.0,8984.0,13190.0,8288.0,2463.0,160.0,23941.0,20846.0,15653.0,0.0
1548.0,2913.0,324.0,28509.0,7.0,10.0,22.0,25.0,3095.0,2703.0,17070.0,10713.0,2483.0,180.0,30266.0,27171.0,19553.0,0.0
0.0,2315.0,277.0,30855.0,31.0,27.0,44.0,40.0,3295.0,1525.0,17090.0,15367.0,2483.0,180.0,34940.0,31645.0,19573.0,0.0
0.0,1755.0,467.0,29754.0,37.0,42.0,44.0,46.0,3695.0,3463.0,17000.0,12258.0,2483.0,180.0,31741.0,28046.0,19483.0,0.0
0.0,1803.0,339.0,30471.0,30.0,24.0,56.0,60.0,2695.0,4054.0,13250.0,15202.0,2463.0,160.0,30915.0,28220.0,15713.0,0.0
0.0,1078.0,455.0,29997.0,29.0,29.0,52.0,50.0,3305.0,9891.0,14600.0,7426.0,2463.0,160.0,24489.0,21184.0,17063.0,0.0
0.0,1435.0,400.0,31196.0,28.0,46.0,51.0,49.0,3120.0,2707.0,15070.0,15491.0,2483.0,180.0,33044.0,29924.0,17553.0,0.0
0.0,1964.0,295.0,31002.0,15.0,16.0,36.0,34.0,3145.0,2856.0,17500.0,13272.0,2483.0,180.0,33255.0,30110.0,19983.0,0.0
0.0,1342.0,314.0,30238.0,55.0,56.0,78.0,81.0,3295.0,4230.0,15580.0,12602.0,2463.0,160.0,30645.0,27350.0,18043.0,0.0
0.0,1729.0,283.0,30422.0,44.0,45.0,54.0,53.0,3450.0,10075.0,14480.0,8583.0,2463.0,160.0,25526.0,22076.0,16943.0,0.0
0.0,941.0,196.0,29813.0,54.0,55.0,62.0,63.0,2470.0,3832.0,13060.0,13869.0,2463.0,160.0,29392.0,26922.0,15523.0,0.0
0.0,1693.0,269.0,30901.0,13.0,13.0,43.0,44.0,2895.0,2371.0,15500.0,15155.0,2463.0,160.0,33118.0,30223.0,17963.0,0.0
0.0,2038.0,157.0,30267.0,36.0,38.0,44.0,58.0,2788.0,8283.0,15000.0,9347.0,2463.0,160.0,26810.0,24022.0,17463.0,0.0
0.0,888.0,315.0,30239.0,54.0,50.0,71.0,69.0,3425.0,7641.0,13350.0,11098.0,2463.0,160.0,26911.0,23486.0,15813.0,0.0
0.0,1546.0,185.0,29681.0,19.0,17.0,41.0,41.0,2738.0,4778.0,14200.0,12504.0,2483.0,180.0,29187.0,26449.0,16683.0,0.0
642.0,2657.0,166.0,30218.0,-8.0,-15.0,33.0,33.0,3288.0,3713.0,17110.0,12215.0,2483.0,180.0,31808.0,28520.0,19593.0,0.0
0.0,1485.0,185.0,29681.0,29.0,26.0,47.0,48.0,2738.0,4164.0,14870.0,12387.0,2483.0,180.0,29740.0,27002.0,17353.0,0.0
0.0,1072.0,378.0,30611.0,59.0,57.0,75.0,84.0,3195.0,2423.0,17800.0,12192.0,2463.0,160.0,32455.0,29260.0,20263.0,0.0
344.0,2416.0,320.0,29745.0,21.0,21.0,37.0,33.0,3495.0,2437.0,16600.0,13792.0,2483.0,180.0,32875.0,29380.0,19083.0,0.0
0.0,612.0,451.0,30611.0,67.0,64.0,83.0,88.0,3120.0,2667.0,20580.0,8633.0,2463.0,160.0,31676.0,28556.0,23043.0,0.0
0.0,1233.0,399.0,30615.0,58.0,62.0,75.0,72.0,3095.0,4898.0,13600.0,13982.0,2463.0,160.0,30045.0,26950.0,16063.0,0.0
0.0,2083.0,465.0,30471.0,11.0,8.0,44.0,43.0,2695.0,3367.0,14440.0,14959.0,2483.0,180.0,31882.0,29187.0,16923.0,0.0
0.0,1605.0,404.0,28074.0,44.0,40.0,67.0,68.0,3095.0,7533.0,12830.0,9948.0,2463.0,160.0,25241.0,22146.0,15293.0,0.0
0.0,1144.0,323.0,28079.0,63.0,69.0,74.0,76.0,3625.0,2086.0,16850.0,11449.0,2463.0,160.0,30762.0,27137.0,19313.0,0.0
0.0,1784.0,451.0,31221.0,19.0,16.0,49.0,51.0,2895.0,5390.0,12220.0,15827.0,2463.0,160.0,30510.0,27615.0,14683.0,0.0
0.0,1676.0,456.0,31077.0,38.0,38.0,46.0,44.0,3295.0,2645.0,15920.0,15000.0,2483.0,180.0,33403.0,30108.0,18403.0,0.0
0.0,2008.0,279.0,31002.0,37.0,35.0,45.0,37.0,3095.0,2035.0,16000.0,15587.0,2483.0,180.0,34070.0,30975.0,18483.0,0.0
583.0,2026.0,446.0,30995.0,3.0,-1.0,32.0,31.0,3295.0,8336.0,17350.0,7564.0,2483.0,180.0,27397.0,24102.0,19833.0,0.0
0.0,744.0,458.0,30611.0,62.0,59.0,82.0,91.0,3295.0,2009.0,20480.0,9698.0,2463.0,160.0,32641.0,29346.0,22943.0,0.0
0.0,1420.0,277.0,31193.0,40.0,38.0,54.0,51.0,2705.0,7375.0,16500.0,8960.0,2483.0,180.0,27943.0,25238.0,18983.0,0.0
0.0,1463.0,624.0,30901.0,46.0,46.0,52.0,53.0,2695.0,2809.0,13600.0,16187.0,2463.0,160.0,32250.0,29555.0,16063.0,0.0
0.0,1608.0,157.0,30241.0,48.0,45.0,72.0,76.0,2688.0,8331.0,14550.0,9193.0,2463.0,160.0,26206.0,23518.0,17013.0,0.0
0.0,2728.0,431.0,30325.0,16.0,10.0,44.0,43.0,3295.0,2117.0,13560.0,18208.0,2463.0,160.0,34231.0,30936.0,16023.0,0.0
0.0,2204.0,396.0,28074.0,26.0,26.0,51.0,52.0,2895.0,4148.0,14230.0,12312.0,2483.0,180.0,29025.0,26130.0,16713.0,0.0
