ACWO_1,ADMO_1,ADRR_1,CSO_1,HTB_1,ITP_1,PPL_1,PS_1,RRR_1,TGA_1,Abnormal
0.0,1919.0,225.0,28579.0,54.0,3095.0,15400.0,10674.0,180.0,25462.0,0.0
0.0,725.0,489.0,29746.0,71.0,2695.0,13000.0,9388.0,160.0,22156.0,0.0
0.0,3519.0,223.0,28274.0,45.0,3295.0,16160.0,14435.0,180.0,29783.0,0.0
0.0,1816.0,222.0,28579.0,59.0,3295.0,16400.0,9221.0,180.0,24809.0,0.0
0.0,2312.0,278.0,31002.0,47.0,3295.0,17940.0,15206.0,180.0,32334.0,0.0
0.0,1805.0,387.0,28074.0,57.0,3095.0,15750.0,7910.0,180.0,23048.0,0.0
0.0,1325.0,321.0,28378.0,73.0,3450.0,15120.0,7682.0,160.0,21815.0,0.0
0.0,1567.0,324.0,30304.0,73.0,2895.0,12370.0,12921.0,160.0,24859.0,0.0
0.0,1296.0,443.0,29754.0,58.0,3695.0,15900.0,12686.0,180.0,27374.0,0.0
0.0,1179.0,311.0,28076.0,86.0,3625.0,23500.0,4952.0,160.0,27290.0,0.0
0.0,1627.0,216.0,29996.0,50.0,2888.0,15670.0,13799.0,180.0,29064.0,0.0
0.0,858.0,362.0,29184.0,79.0,3295.0,16970.0,11507.0,160.0,27645.0,0.0
0.0,1167.0,461.0,29997.0,51.0,3625.0,14090.0,10442.0,160.0,23370.0,0.0
0.0,2038.0,386.0,28074.0,65.0,2795.0,14240.0,6749.0,180.0,20677.0,0.0
0.0,1666.0,485.0,27809.0,77.0,3095.0,17500.0,11060.0,160.0,27928.0,0.0
0.0,1053.0,290.0,31262.0,57.0,2945.0,14990.0,11243.0,160.0,25751.0,0.0
0.0,853.0,317.0,29883.0,83.0,3425.0,19320.0,9539.0,160.0,27897.0,0.0
0.0,2968.0,349.0,27794.0,69.0,1895.0,12760.0,14548.0,160.0,27876.0,0.0
0.0,1314.0,227.0,28083.0,68.0,2895.0,13500.0,12553.0,160.0,25621.0,0.0
0.0,1039.0,185.0,29681.0,42.0,2938.0,16830.0,7393.0,180.0,23768.0,0.0
0.0,1684.0,157.0,30267.0,67.0,2488.0,14190.0,10679.0,160.0,24844.0,0.0
0.0,803.0,345.0,30239.0,74.0,2705.0,15340.0,13773.0,160.0,28871.0,0.0
0.0,1856.0,327.0,29697.0,50.0,3095.0,13450.0,12147.0,160.0,24965.0,0.0
0.0,1743.0,414.0,29760.0,67.0,3070.0,13520.0,13932.0,160.0,26845.0,0.0
0.0,1700.0,428.0,30244.0,73.0,3450.0,15090.0,15460.0,160.0,29563.0,0.0
0.0,1539.0,284.0,31294.0,46.0,3295.0,15250.0,10698.0,160.0,25116.0,0.0
0.0,1112.0,379.0,30244.0,72.0,3120.0,14820.0,14836.0,160.0,28999.0,0.0
339.0,1309.0,216.0,29996.0,33.0,2988.0,17200.0,12709.0,180.0,29404.0,0.0
0.0,1792.0,338.0,28579.0,50.0,2895.0,15250.0,10366.0,180.0,25204.0,0.0
0.0,1834.0,470.0,27794.0,79.0,3295.0,16590.0,12648.0,160.0,28406.0,0.0
0.0,1065.0,596.0,29155.0,84.0,2890.0,21070.0,6616.0,160.0,27259.0,0.0
0.0,2194.0,482.0,29997.0,42.0,2220.0,16180.0,11096.0,180.0,27539.0,0.0
0.0,3227.0,328.0,28274.0,55.0,3120.0,15450.0,15521.0,180.0,30334.0,0.0
482.0,2212.0,145.0,30281.0,32.0,3588.0,17900.0,13420.0,180.0,30215.0,0.0
0.0,1715.0,328.0,30471.0,54.0,3595.0,13820.0,16130.0,160.0,28818.0,0.0
0.0,2575.0,400.0,28206.0,42.0,3095.0,16500.0,9294.0,180.0,25182.0,0.0
0.0,1607.0,157.0,30241.0,62.0,2788.0,14000.0,10406.0,160.0,24081.0,0.0
688.0,2947.0,466.0,31077.0,37.0,3095.0,17020.0,14373.0,180.0,30781.0,0.0
0.0,2274.0,319.0,29539.0,52.0,2640.0,14100.0,14374.0,160.0,28297.0,0.0
0.0,2236.0,422.0,29745.0,55.0,3495.0,14300.0,16171.0,180.0,29459.0,0.0
0.0,1243.0,334.0,28019.0,87.0,3295.0,22550.0,4696.0,160.0,26414.0,0.0
